,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,0.37254901960784315,1,0,0.11811818987539754,S,Third,man,True,Southampton,no,False,1
2,1,3,female,0.4509803921568627,0,0,0.12911540065690008,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.6274509803921569,1,0,0.8651139148115323,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.6274509803921569,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
5,0,3,male,0.5235121107266435,0,0,0.1378040117824931,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,1.0,0,0,0.844952361712111,S,First,man,True,Southampton,no,True,0
8,1,3,female,0.47058823529411764,0,2,0.18138555080548463,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,0.21568627450980393,1,0,0.4899184088420833,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,0.0196078431372549,1,1,0.272079140816433,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,0.3333333333333333,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.7058823529411764,1,5,0.5095374328762838,S,Third,man,True,Southampton,no,False,6
14,0,3,female,0.21568627450980393,0,0,0.12796191543715135,S,Third,child,False,Southampton,no,True,0
17,1,2,male,0.5235121107266435,0,0,0.21179813356967836,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.5490196078431372,1,0,0.2932589541734008,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,0.5235121107266435,0,0,0.11771088577237893,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.6274509803921569,0,0,0.4235962671393567,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.6078431372549019,0,0,0.21179813356967836,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,0.23529411764705882,0,0,0.13081304415828163,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,0.4901960784313726,0,0,0.5783718262864294,S,First,man,True,Southampton,yes,True,0
24,0,3,female,0.09803921568627451,3,1,0.3433573588446901,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.6862745098039216,1,5,0.5113703013398676,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,0.5235121107266435,0,0,0.11771088577237893,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,0.5235121107266435,0,0,0.12836921954016997,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,0.5235121107266435,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.7254901960784313,0,0,0.45163182315833383,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,0.5235121107266435,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,0.7647058823529411,1,0,0.8471925342787134,S,First,man,True,Southampton,no,False,1
